File,Category,Section,Title
205113986.html,MIT Specific questions,Navigating startup resources at MIT,I don't have money to hire a lawyer. Who can help me with my legal questions?
205091076.html,MIT Specific questions,Academics at MIT,Can I attend entrepreneurship classes as a listener?
205268413.html,Ideation,Brainstorming and ideation,How do I encourage people to take risks and share crazy ideas?
205267353.html,Legal ,Company formation / incorporation,How do I file papers for incorporation?
204939926.html,Legal ,Hiring your first lawyer,What are the questions I should be asking an attorney?
205240613.html,Strategy,Board of Director Considerations ,What are the necessary components of the board?
205193903.html,Product Management,Defining a product,How do I define my product requirements?
205166043.html,General questions,Startup / Entrepreneurship Frameworks,What is the Business Model Canvas?
204854996.html,"Team Building: Leadership, Management and Culture",Managing a team,How do I manage remote employees effectively?
205164453.html,"Team Building: Leadership, Management and Culture",Building a team,What is the difference between a CTO and a VP Engineering?
205164363.html,Product Development,Managing Software Development,How can you speed up software development?
204854786.html,Product Development,Planning projects,What do I need to know to create a realistic project plan if the work is outside my area of expertise?
204854376.html,Primary Market Research,Interview techniques,What are some magic phrases to help me run an open-ended interview?
204854336.html,Primary Market Research,Getting started,What do I do if I want to work on a problem but don’t know the solution?
204854106.html,Legal ,Intellectual Property Protection,I don’t have the resources to sue someone who is infringing. Why bother patenting my invention?
360040911092.html,Anti-Fragility in the face of crisis,Starting and running a business in tough times,What can companies do to cut costs during a global crisis?
360040897772.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,How do I hold a keynote talk on line?
360040897292.html,Anti-Fragility in the face of crisis,Maintaining cohesiveness and alignment in a virtual team,How can I deal with loneliness during an era of social distancing?
360041242311.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,Should I use all-in-one platforms or best-in-class tools for each type of interaction?
360039697212.html,Corporate Entrepreneurship,Innovation Enablement in organizations,When might it make sense for an organization to promote internal venture creation?
360040104731.html,Corporate Entrepreneurship,Innovation Strategy in Corporations,Who is involved in major investment decisions in support of the innovation strategy?
360039696252.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is innovation-driven entrepreneurship (IDE)?
360039239692.html,Marketing and Sales,Online Advertising,What is the overall process for implementing an digital advertising campaign?
360039632631.html,Scaling - Manufacturing,Rapid Prototyping (RP) Versus Mass Production,Can I use additive manufacturing to mass produce custom plastic parts?
360025252331.html,Human Resources,Hiring,How do recruiter work?
360024992371.html,Business Model and Pricing,TAM (Total Addressable Market),How much time should I spend estimating TAM?
115001880211.html,Raising money - equity based,Convertible notes and safe notes,"What is a ""SAFE note""?"
115001607312.html,Primary Market Research,Getting started,How do I put up a web page quickly to run digital experiments?
115001546572.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How do I create a talk with sticky notes?
115000903712.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which incubators and accelerators focus on food tech?
115000903272.html,Legal ,NDAs,What is a unilateral NDA?
115000822672.html,"Raising money - Grants, prizes and accelerators",Writing a great SBIR proposal,How do I talk about competitive advantage in the SBIR proposal?
115000822312.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,Why should I to talk to an SBIR sponsor before applying?
115000821732.html,Sector Deep Dives,Tough Tech / Deep Tech,"What is VentureWell, and how can it help me?"
115000789572.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,What is the SBA (Small Business Administration)?
213227443.html,Raising money - equity based,Pitching to investors,Paper on how do VC's Make decisions
211621606.html,Raising money - equity based,Raising an angel or seed round,Seed Round Financing Decks 
211590386.html,Business Model and Pricing,Determining your Business Model,What is important to focus on  in laying out a business model?
211583846.html,"Team Building: Leadership, Management and Culture",Managing a team,What is the key to maintaing a positive team dynamic?
210160613.html,General questions,Networking and outreach,How do I write a great cold email?
206213326.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),I have taken some entrepreneurship classes. Will this be repetitive?
206442463.html,Scaling - Manufacturing,Sourcing Components,How do I source custom metal parts?
206442123.html,"Team Building: Leadership, Management and Culture",Managing a team,How do I run effective meetings?
206075646.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,What is a landing page?
206439713.html,Product Management,Defining a product,What is a product positioning statement?
205994626.html,Scaling - Manufacturing,Design for Manufacturing / Assembly (DFM/A),What is different about manufacturing in Biotech?
205994606.html,Product Development,Prototyping,Next Step Prototypes?
205954926.html,Scaling - Process and Infrastructure,Scaling your team ,How do you scale without adding more employees?
205911076.html,MIT Specific questions,MIT deltav,How many people can be on my team?
205467246.html,MIT Specific questions,Navigating startup resources at MIT,What MIT organizations are involved with entrepreneurship?
205464846.html,Secondary Market Research,Secondary Market Research Resources,Harvard Business Review cases
205139306.html,Legal ,Hiring your first lawyer,What legal documents do I need from my lawyer?
205468723.html,Legal ,Everything about stock and stock options,Why is vesting important?
205139016.html,Legal ,Company formation / incorporation,"What is the difference between a C-corp, an S-corp and an LLC?"
204963996.html,Ideation,Brainstorming and ideation,How do I encourage people to think big?
204947236.html,MIT Specific questions,Martin Trust Center for MIT Entrepreneurship,I am getting ready to raise money. Can someone at the Trust Center introduce me to an angel investor?
204936576.html,"Team Building: Leadership, Management and Culture",Managing conflict,"What is conflict, and how do I handle it?"
205241553.html,Strategy,Board of Director Considerations ,What is an observer seat?
205193963.html,Career Choice,Deciding whether to start a company,"Should I start a company, join a startup or join a big company?"
204857066.html,General questions,Startup / Entrepreneurship Frameworks,What is the Lean Startup framework?
204855026.html,Raising money - equity based,Fund raising - overview,When should I fund-raise?
204854816.html,Product Development,Managing Software Development,"As a non-technical CEO, how do I know if an engineer isn’t goofing off if I’m not watching them all the time?"
205164333.html,Product Development,Planning projects,How can we get better work estimates? My developers are constantly off by a factor of 2 or more.
204854346.html,Primary Market Research,Interview techniques,Is it a good idea to start a customer interview with an “on a scale of 1-5” question?
205163933.html,Founders' Decisions,Founder dating,What is the next step if I’m a technical person with an idea?
204854216.html,Legal ,Intellectual Property Protection,How do I get a patent? Can I prepare a patent myself? I can write a good technical description.
205163573.html,Marketing and Sales,Marketing Presence,How much energy should I spend naming my startup?
205163443.html,General questions,Startup administrivia,What service providers should I hire to get going quickly?
360042300471.html,Legal ,Everything about stock and stock options,Can I pay my employees in equity and not in cash?
360040910152.html,Anti-Fragility in the face of crisis,Starting and running a business in tough times,Comprehensive resource guide for founders & investors during uncertain times
360040909112.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,What tools can help me convert scheduled meetings to an online format?
360041326411.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,How do I give a talk online and manage the tech and audience at the same time?
360041324931.html,Anti-Fragility in the face of crisis,Maintaining cohesiveness and alignment in a virtual team,Pro-tips from TechStars on staying sane
360039697272.html,Corporate Entrepreneurship,Corporate Venture Capital (CVC),What is corporate venture capital (CVC)?
360039697152.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is a Small and Medium Enterprise (SME) or business (SMB)?
360039648671.html,Marketing and Sales,Online Advertising,How do I plan my advertising campaign?
360039223312.html,Scaling - Manufacturing,Rapid Prototyping (RP) Versus Mass Production,Can I use additive manufacturing to mass produce custom metal parts?
360039340811.html,General questions,Startup / Entrepreneurship Frameworks,What is Design Thinking?
360027922792.html,Marketing and Sales,Marketing Presence,Where can I get free stock photos and videos?
360024691832.html,Business Model and Pricing,TAM (Total Addressable Market),How do I estimate TAM if there is a HUGE range in what customers will pay?
360024657851.html,Primary Market Research,Getting started,How do I select a customer segment? (video)
115001886872.html,Raising money - equity based,Convertible notes and safe notes,What is the difference between a convertible note and a safe note?
115000903672.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerator focuses on agriculture tech?
115000900971.html,Legal ,NDAs,What is a bilateral NDA?
115000822872.html,Sector Deep Dives,Tough Tech / Deep Tech,What do I need to know about funded development projects with a corporate partner?
115000816071.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,How do I figure out which SBIR sponsors to target?
115000783591.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,Which federal agencies participate in the SBIR/STTR programs?
214678423.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,What are some best practices for slide design?
211637986.html,Raising money - equity based,Fund raising - overview,What do I need to know about Term Sheets?
213100323.html,Business Model and Pricing,Determining your Business Model,What process should entrepreneurs follow in developing their business model?
211585006.html,Founders' Decisions,Founder dating,Terrific blog on Co-founder fit 
209561646.html,Legal ,Company formation / incorporation,What is a B-Corp or B-Corporation?
206445976.html,Product Development,Managing Software Development,What is a good ratio between developers and software quality assurance people?
206445506.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,When should a startup become cash flow positive?
206563643.html,Career Choice,Deciding whether to start a company,How much should an entrepreneur expect to earn in the first five years of the company?
206533173.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),What course numbers are allowed to apply?
206076366.html,Scaling - Manufacturing,Sourcing Components,How do I source custom plastic parts?
206441393.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,What is a Landing Page Test?
206074226.html,Product Management,Defining a product,Where can I find some templates and samples for product definition?
206282543.html,Scaling - Process and Infrastructure,Scaling your team ,How do you get the team to buy into your mindset? 
205911086.html,MIT Specific questions,MIT deltav,Do all of my team members have to be current MIT students?
205467326.html,General questions,Networking and outreach,How do I network effectively?
205815383.html,MIT Specific questions,Engaging with MIT students and alumni,Where can I meet cofounders at MIT?
205244486.html,Human Resources,Hiring,How do I find a programmer?
205570203.html,Legal ,Hiring your first lawyer,How should I think about my relationship with my lawyer?
204963966.html,Ideation,Brainstorming and ideation,What does improvisation theater have to do with ideation?
204937526.html,"Team Building: Leadership, Management and Culture",Managing conflict,Key points to remember in conflict management
204934626.html,Strategy,Board of Director Considerations ,Why do boards use term limits?
204855006.html,"Team Building: Leadership, Management and Culture",Managing a team,How often should I have meetings?
204854806.html,Product Development,Planning projects,I have a business-driven deadline that cannot be moved and I need a deliverable by that date. My developers say it cannot be done. How do I proceed?
205164293.html,Primary Market Research,Interview techniques,What if every conversation with a new interview subject is a whole new conversation?
205163843.html,Legal ,Intellectual Property Protection,What experience should I look for in a good patent attorney or patent agent?
205163563.html,General questions,Startup administrivia,How do I keep track of all my business contacts?
360040909012.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,What tools can help me convert hallway conversations to an online format?
360040898032.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,How do I hold a virtual networking session?
360041324951.html,Anti-Fragility in the face of crisis,Maintaining cohesiveness and alignment in a virtual team,Pro-Tips on TechStars for managing your business
360040105551.html,Corporate Entrepreneurship,Corporate Venture Capital (CVC),How does Corporate Venture Capital (CVC) differ from Venture Capital (VC) firms?
360039239772.html,Marketing and Sales,Online Advertising,How much should I spend on digital advertising?
360027922832.html,Human Resources,Hiring,Should I hire a CTO or a dev shop?
360025283711.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,What is the dollar amount of typical SBIR / STTR grants?
360024980552.html,Career Choice,Deciding whether to start a company,12 Key Insights about the Founder Journey
360024992651.html,Business Model and Pricing,TAM (Total Addressable Market),How do I estimate TAM when I am creating a new product category?
360024372532.html,General questions,Getting started,E-Seminars from MIT Bootcamps
360019847771.html,Primary Market Research,Getting started,Example of good PMR 
115001880231.html,Raising money - equity based,Convertible notes and safe notes,What are the different kinds of safe notes?
115000901671.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerators focus on medical devices?
115000900991.html,Legal ,NDAs,What is a multilateral NDA?
115000822372.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,How do I connect with my SBIR sponsor whom I have not met?
115003116523.html,Marketing and Sales,Inbound and Content Marketing,Building Client Relationships 
115001356366.html,MIT Specific questions,Engaging with MIT students and alumni,How do I recruit students at MIT to join my startup?
209605746.html,Legal ,Company formation / incorporation,Difference between B-Corp and Public Benefit Corporation (PBC)
207600353.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,How do I execute a landing page test?
207146333.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How do I incorporate conflicting feedback into my pitch?
206790173.html,Product Development,Managing Software Development,What is a good ratio between time spent in development versus software quality assurance (SQA)?
206445846.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What makes a startup investable or fundable?
206533143.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Is this program only open to MIT undergraduates? 
206076336.html,Scaling - Manufacturing,Sourcing Components,How do I source custom electronics components like PCBs and cables?
206074106.html,Product Management,Defining a product,What are some example artifacts from product definition?
206354073.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is corporate entrepreneurship ?
206242333.html,MIT Specific questions,MIT deltav,Do you take any equity?
204937556.html,"Team Building: Leadership, Management and Culture",Managing conflict,Suggested resources for conflict 
205240633.html,Strategy,Board of Director Considerations ,Why shouldn't you have friends on your board?
204855036.html,Raising money - equity based,Fund raising - overview,Who are the people who invest in startups in Boston?
204854686.html,Primary Market Research,Interview techniques,What if you keep hearing the same thing over and over?
205163793.html,Legal ,Intellectual Property Protection,What if I told someone about my innovation? Is it too late to protect it?
204853986.html,General questions,Startup administrivia,Should I open a separate bank account to manage my startup's money?
360040909252.html,Anti-Fragility in the face of crisis,How to use technology to help us go virtual,How do we stay on topic and organized within an instant messaging platform?
360040907532.html,Anti-Fragility in the face of crisis,Transforming in-person interactions to an online format,What are some pro-tips for running a successful training session?
360039697112.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,What is the difference between intrapreneurship and corporate entrepreneurship?
360039239872.html,Marketing and Sales,Online Advertising,How do I set goals and objective for my digital advertising campaign?
360029729391.html,Human Resources,Hiring,How do I recruit technical talent at MIT?
115001880251.html,Raising money - equity based,Convertible notes and safe notes,Where can I download example templates for safe notes?
115000903652.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerators focus on hardware?
115000903372.html,Legal ,NDAs,Will VCs sign an NDA?
115000816891.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,What is the difference between contracts and grants?
115000822652.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,What questions should I ask my sponsor?
207862186.html,Legal ,Company formation / incorporation,What are the accounting and tax ramifications of a 501(c)(3) non-profit organization? 
207743813.html,Raising money - equity based,Fund raising - overview,How do I find investors in my specific industry sector?
207711713.html,MIT Specific questions,Engaging with MIT students and alumni,How do I network with MIT alumni?
207600373.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,How do you do a small sample size landing page test?
206445166.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What are some common mistakes in financials for first time founders?
206533133.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Do all my team members need to attend MIT? 
206072096.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How do I give a GREAT presentation?
206242343.html,MIT Specific questions,MIT deltav,What if I need fabrication space for my idea -- will dry and wet labs be made available?
205241583.html,Strategy,Board of Director Considerations ,What do you present at a board meeting?
205164373.html,Product Development,Managing Software Development,My developers don’t like the tools I chose for managing development. How do I bring them around?
204854406.html,Primary Market Research,Interview techniques,What if the interview subject simply won’t talk?
205163853.html,Legal ,Intellectual Property Protection,What are the legal requirements to get a patent?
204854006.html,General questions,Startup administrivia,What software should I use to manage my finances?
360041882872.html,Legal ,Company formation / incorporation,Do I need to predefine the shares and vesting schedule before incorporation?
360040104691.html,Corporate Entrepreneurship,Corporate Entrepreneurship Overview,Why is corporate entrepreneurship important?
360039648971.html,Marketing and Sales,Online Advertising,What are the most important advertising metrics to track?
360024413392.html,MIT Specific questions,MIT deltav,How many teams will you accept for each program?
115001886952.html,Raising money - equity based,Convertible notes and safe notes,Why don't VC's like convertible or safe notes?
115000903612.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerator focuses on biotech?
115000901011.html,Legal ,NDAs,When should I consider signing an NDA?
115000816811.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,Should I try to get letters of support from my business contacts for my SBIR application?
115000790612.html,"Raising money - Grants, prizes and accelerators",Introduction to SBIR / STTR,Where can I go to learn more about SBIR/STTR?
209608723.html,Raising money - equity based,Fund raising - overview,Where can I find non-dilutive funding options for students?
206726516.html,Raising money - equity based,Pitching to investors,How much time should I devote to talking about my product in a pitch?
206173796.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Does this course accept hardware teams? 
206133256.html,MIT Specific questions,Navigating startup resources at MIT,Are there any hackathons at MIT?
206075876.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,How do I run a landing page test without writing any code?
205911416.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What is the #1 job of the CEO?
205713216.html,Legal ,Intellectual Property Protection,How do I find out if someone else invented my concept first? Is there a way to search for my concept?
205478523.html,"Pitching, Presentations and Public Speaking",Preparing for a talk,How do I practice for my pitch effectively?
205164353.html,Product Development,Managing Software Development,I am constantly surprised by missed deadlines. How do I fix this?
360041882932.html,Legal ,Company formation / incorporation,Can some of the founders not have a Tax ID because they are not in the US?
360039239832.html,Marketing and Sales,Online Advertising,Which advertising platform should I use?
360016041832.html,Free or discounted services for startups,Business systems,Customer support and ticketing: Zendesk for Startups
360016006971.html,MIT Specific questions,Navigating startup resources at MIT,Where can I learn more about the Sandbox fund?
115000903592.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerators focus on healthcare?
115000903312.html,Legal ,NDAs,Why is it a bad idea to sign an NDA?
115000822692.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,When do I get really technical in the proposal?
211638046.html,Basics of Finance (i.e. managing money),Getting started with your financial scoreboard,What should entrepreneurs focus on in developing a company's financial plan?
213105563.html,Raising money - equity based,Fund raising - overview,Social Impact Investing 
207600363.html,Testing your MVP and Finding Product/Market Fit,Validating hypotheses via MVP Testing,How do you execute an A/B test?
206533093.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Can I take this activity for credit? 
206242353.html,MIT Specific questions,MIT deltav,What is required of my team once I am in the accelerator?
206043683.html,Legal ,Intellectual Property Protection,Someone told me not to search patents because it can get me in trouble. Is that true?
360041882972.html,Legal ,Company formation / incorporation,"For the address of the corporation, could it just be a home address, should i get a virtual PO?"
360039648811.html,Marketing and Sales,Online Advertising,How do I setup my ads?
360024413452.html,MIT Specific questions,MIT deltav,What will teams be doing during the summer?
115000901611.html,"Raising money - Grants, prizes and accelerators",Accelerators,Which accelerators focus on clean tech?
115000816851.html,"Raising money - Grants, prizes and accelerators",Applying for an SBIR or STTR grant,Who reviews SBIR proposals?
115000812546.html,MIT Specific questions,Navigating startup resources at MIT,Healthcare resources for MIT students
206533073.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Why don't you offer credit for this activity? 
206043293.html,Legal ,Intellectual Property Protection,Is software patentable?
360039240092.html,Marketing and Sales,Online Advertising,How should I report on my digital advertising campaign metrics/results?
360027553532.html,"Raising money - Grants, prizes and accelerators",Accelerators,What accelerators focus on Insurance Tech?
360024413492.html,MIT Specific questions,MIT deltav,How will teams accelerate their progress on building their startups during the program?
206173786.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),What will some of the available resources be? 
205477576.html,MIT Specific questions,Navigating startup resources at MIT,Can you recommend lawyers that other MIT startups have worked with?
205477633.html,"Pitching, Presentations and Public Speaking",Pitch deck templates,What should I put in a 10-minute pitch?
204854196.html,Legal ,Intellectual Property Protection,"Even if I can legally get a patent, are there reasons to not get a patent?"
360039648651.html,Marketing and Sales,Online Advertising,Can I leverage digital advertising to grow my business?
360024413532.html,MIT Specific questions,MIT deltav,How much grant or stipend money will teams be eligible for and what are the eligibility requirements?
206173756.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Do I have to have an established company? 
205147056.html,Raising money - equity based,Pitching to investors,What are typical pitch durations for a startup?
205163813.html,Legal ,Intellectual Property Protection,What is a Provisional Patent Application?
360039240052.html,Marketing and Sales,Online Advertising,What does it mean to optimize your campaigns?
360024703191.html,MIT Specific questions,MIT deltav,How do the accelerators handle confidentiality?
206173746.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Do I have to have an idea? 
204854146.html,Legal ,Intellectual Property Protection,What is the difference between a utility patent and a design patent?
360039239952.html,Marketing and Sales,Online Advertising,What is digital advertising tracking?
360024413572.html,MIT Specific questions,MIT deltav,How do the accelerators handle intellectual property?
115001304423.html,Legal ,Intellectual Property Protection,"After I file my patent, I can sell my patented product with no worries, right?"
206173736.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),Do I need a team? 
360047776812.html,Legal ,Intellectual Property Protection,MIT owns some patents that I’d like to use. How can I do that?
360039239912.html,Marketing and Sales,Online Advertising,How do I setup a landing page for my online advertisements to link to?
206533053.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),What is the time commitment for fuse? 
206242363.html,MIT Specific questions,MIT deltav,Who is running the accelerator?
360047777632.html,Legal ,Intellectual Property Protection,What are common license terms for intellectual property?
360039648911.html,Marketing and Sales,Online Advertising,What is a lead form and what information should I collect?
360024703331.html,MIT Specific questions,MIT deltav,Are there any visa or work permit issues for international students?
206173726.html,MIT Specific questions,MIT Fuse - 3-week mini accelerator during IAP (January),How should I prepare? 
360048254231.html,Legal ,Intellectual Property Protection,A license sounds like a big commitment. I’m not ready for that yet. Can I wait a while to take a license?
360039648991.html,Marketing and Sales,Online Advertising,Are graphics or text more important in my digital advertising campaigns?
360048249691.html,Legal ,Intellectual Property Protection,Does my US patent protect me in other countries?
360039240652.html,Marketing and Sales,Online Advertising,Where can I find high quality stock photos for my digital advertising campaigns?
360028202491.html,Marketing and Sales,Online Advertising,Workshop: Online Advertising
204854206.html,Legal ,Intellectual Property Protection,How do I handle international filings?
360040524392.html,Legal ,Intellectual Property Protection,External content: What is the patent process? (Via Dragon Innovation)
211880166.html,Legal ,Intellectual Property Protection,External content: Cheat Sheet for Intellectual Property from Bricolage Law LLC
360024658691.html,Legal ,Intellectual Property Protection,External Content: Do entrepreneurs really need patents? (via MIT Bootcamps)
360024658771.html,Legal ,Intellectual Property Protection,External content: MIT Bootcamps webinar series on IP Law
